DULICA;PSC;OBCE
Ulica T. G. Masaryka;984 01;Luèenec
Ulica tehelná;984 01;Luèenec
Ulica Terézie Vansovej;984 01;Luèenec
Ulica tichá;984 01;Luèenec
Ulica tkáèska;984 01;Luèenec
Ulica továrenská;984 01;Luèenec
Ulica úzka;984 01;Luèenec
Ulica V. V. Majakovského;984 01;Luèenec
Ulica Vajanského;984 01;Luèenec
Ulica Z. Nejedlého;984 01;Luèenec
Ulica záhradná;984 01;Luèenec
Ulica zámocká;984 01;Luèenec
Ulica Zory Jesenskej;984 01;Luèenec
Ulica eleznièná;984 01;Luèenec
Veterná osada;984 01;Luèenec
Vinica;984 01;Luèenec
Vinohradná ulica;984 01;Luèenec
Vıstavisko;984 01;Luèenec
Zelená;984 01;Luèenec
Zlatá ulièka;984 01;Luèenec
Zvolenská cesta;984 01;Luèenec
Bazová ulica;951 41;Luianky
Cez panské;949 01;Luianky
Ciolkovského;951 41;Luianky
Èerešòová ulica;951 41;Luianky
Dolné Hony;951 41;Luianky
Dunajského;951 41;Luianky
Edisonova;951 41;Luianky
Egrešová ulica;951 41;Luianky
Gaštanová ulica;951 41;Luianky
Golfová;951 41;Luianky
Hlohovecká;951 41;Luianky
Horákova;951 41;Luianky
Hronského;951 41;Luianky
Jahodová ulica;951 41;Luianky
Jaseòová ulica;951 41;Luianky
Kajsa;951 41;Luianky
Kajsa II;951 41;Luianky
Kaplanova;951 41;Luianky
Korytovská;951 41;Luianky
Lipová ulica;951 41;Luianky
Malinová ulica;951 41;Luianky
Mesaèná;951 41;Luianky
Na Holotke;951 41;Luianky
Na Ihrisko;951 41;Luianky
Nejedlého;951 41;Luianky
Obená;951 41;Luianky
Poèašie;951 41;Luianky
Pod Hliníkom;951 41;Luianky
Pri trati;951 41;Luianky
Prúdová;951 41;Luianky
Radošinská;951 41;Luianky
Rastislavova;951 41;Luianky
Ríbez¾ová ulica;951 41;Luianky
Sasinkova;951 41;Luianky
Slivková ulica;951 41;Luianky
Smreková ulica;951 41;Luianky
Športová;951 41;Luianky
Švantnerova;951 41;Luianky
Tatranská;951 41;Luianky
Teslova;951 41;Luianky
Topo¾ová ulica;951 41;Luianky
Urbanova;951 41;Luianky
Venušina;951 41;Luianky
Vinárska;951 41;Luianky
Višòová ulica;951 41;Luianky
Vodárenská;951 41;Luianky
Závodníkova;951 41;Luianky
29. augusta;036 01;Martin
A. Kmea;036 01;Martin
A. Mamateja;036 01;Martin
A. Medòanského;038 61;Martin
A. Pietra;036 01;Martin
A. Sokolíka;036 01;Martin
A. Stodolu;036 01;Martin
B. Bullu;038 61;Martin
B. Nìmcovej;036 01;Martin
Bagarova;036 01;Martin
Bambusky;036 01;Martin
Bazovského;036 01;Martin
Bellova;036 01;Martin
Benkova;036 01;Martin
Bernolákova;036 01;Martin
Bezekova;036 01;Martin
Bezruèova;036 01;Martin
Björnsonova;036 01;Martin
Bottova;036 01;Martin
Brezová;036 01;Martin
Brigádnická;036 01;Martin
Budovate¾ov;036 01;Martin
C. Majerníka;036 01;Martin
Cesta k lesu;036 01;Martin
Clementisova;036 01;Martin
Èervenej armády;036 01;Martin
Èeskoslovenskej armády;036 01;Martin
Èulenova;036 01;Martin
D. Makovického;036 01;Martin
Daniela Michaelliho;036 01;Martin
Daxnerova;036 01;Martin
Devínska;038 61;Martin
Divadelná;036 01;Martin
Dobšinského;036 01;Martin
Dostojevského;036 01;Martin
Drustevná;036 01;Martin
Dúbravca;036 01;Martin
E. B. Lukáèa;036 01;Martin
F. Štefunku;036 01;Martin
Fatranská;036 01;Martin
Fínska;038 61;Martin
Flámska;036 01;Martin
Fornigovo;036 01;Martin
Francisciho;036 01;Martin
Francúzskych partizánov;038 61;Martin
Gándhího;036 01;Martin
Generála Svobodu;036 01;Martin
Gogo¾ova;036 01;Martin
Gorkého;036 01;Martin
H. Gregorovej;038 61;Martin
H. Melièkovej;036 01;Martin
Hájska;036 01;Martin
Halašova;036 01;Martin
Hasièská ulica;038 61;Martin
Heèkova;036 01;Martin
Helsinská;038 61;Martin
Hlboká;036 01;Martin
Hodova;036 01;Martin
Hollého;036 01;Martin
Holubyho;036 01;Martin
Horská;036 01;Martin
Hradeènica;036 01;Martin
Hrdinov SNP;036 01;Martin
Hurbanova;036 01;Martin
Charkovská;038 61;Martin
Chotárna;038 61;Martin
I. kolónia;038 61;Martin
II. kolónia;038 61;Martin
III. kolónia;038 61;Martin
Izabely Textorisovej;036 01;Martin
J. Alexyho;036 01;Martin
J. Barèa-Ivana;036 01;Martin
J. Goliána;036 01;Martin
J. Kalinèiaka;036 01;Martin
J. Kostru;038 61;Martin
J. Krá¾a;036 01;Martin
J. Lettricha;036 01;Martin
J. Martáka;038 61;Martin
J. Mazúra;036 01;Martin
J. Palkovièa;036 01;Martin
J. Š. Šikuru;038 61;Martin
J. V. Dolinského;038 61;Martin
Jahodnícka;036 01;Martin
Jána Bohdana Hroboòa;036 01;Martin
Jána Fraòa;036 01;Martin
Jána Petrikovicha;036 01;Martin
Jána Šimka;036 01;Martin
Jána Šípku;036 01;Martin
Jánošíkova;036 01;Martin
Jed¾oviny;038 61;Martin
Jeleòova;036 01;Martin
Jesenského;036 01;Martin
Jilemnického;036 01;Martin
Jozefa Kronera;036 01;Martin
K letisku;036 01;Martin
Kadavého;036 01;Martin
Kalnô;036 01;Martin
Kaštie¾na;036 01;Martin
Kernova;036 01;Martin
Kijevská;038 61;Martin
Kmeka;038 61;Martin
Koce¾ova;036 01;Martin
Kohútova;036 01;Martin
Kollárova;036 01;Martin
Kolónia Hviezda;038 61;Martin
Komenského;036 01;Martin
Konevova;036 01;Martin
Korunovo;036 01;Martin
Košarišanova;036 01;Martin
Košútska;036 01;Martin
Kozmonautov;036 01;Martin
Kráèiny;036 01;Martin
Kratinova;038 61;Martin
Krivánska;036 01;Martin
Kukuèínova;036 01;Martin
Kuzmányho;036 01;Martin
L. Frimmela;036 01;Martin
L. Novomeského;036 01;Martin
¼. Ondrejova;036 01;Martin
Langsfeldova;036 01;Martin
¼aukovská;036 01;Martin
Lazík;036 01;Martin
Leningradská;038 61;Martin
Lermontova;036 01;Martin
Lipová;038 61;Martin
Lúky;036 01;Martin
M. Dulu;038 61;Martin
M. Galandu;036 01;Martin
M. Jankolu;036 01;Martin
M. Poláka;036 01;Martin
M. R. Štefánika;036 01;Martin
M. Uhera;036 01;Martin
Majakovského;036 01;Martin
Majerèíkova;038 61;Martin
Majerná;036 01;Martin
Malá Hora;036 01;Martin
Malinovského;036 01;Martin
Maše Ha¾amovej;036 01;Martin
Matuškova;036 01;Martin
Medekova;036 01;Martin
Memorandové námestie;036 01;Martin
Mestská Bôrová;036 01;Martin
Milošovo;036 01;Martin
Minská;038 61;Martin
Mládee;036 01;Martin
Mojmírova;036 01;Martin
Moskovská;036 01;Martin
Moyzesova;036 01;Martin
Mudrochova;038 61;Martin
Murgašova;036 01;Martin
Na Bystrièku;036 01;Martin
Na Kameni;036 01;Martin
Nade Hejnej;036 01;Martin
Nadsadie;036 01;Martin
Nákladné nádraie;038 61;Martin
Nálepkova;036 01;Martin
Námestie J. C. Hronského;036 01;Martin
Námestie protifašistickıch bojovníkov;036 01;Martin
Námestie S. H. Vajanského;036 01;Martin
Námestie SNP;036 01;Martin
Nekrasova;036 01;Martin
Nerudova;038 61;Martin
Nešporova;036 01;Martin
Nezvalova;036 01;Martin
Novákova;036 01;Martin
Novojièínska;036 01;Martin
O. Borodáèovej;036 01;Martin
O. Plachého;038 61;Martin
Obchodné Centrum Turiec;036 01;Martin
Odeská;036 01;Martin
Odtoky;036 01;Martin
Okruná;036 01;Martin
Olšanova;036 01;Martin
P. Mudroòa;036 01;Martin
P. O. Hviezdoslava;036 01;Martin
P. V. Rovnianka;036 01;Martin
Palackého;038 61;Martin
Palárikova;036 01;Martin
Pivovarská;036 01;Martin
Pltníky;036 01;Martin
Pod strelnicou;036 01;Martin
Podhájska;036 01;Martin
Podhorská;036 01;Martin
Po¾ná;036 01;Martin
Po¾ovnícka;036 01;Martin
Ponièanova;036 01;Martin
Potoèná;036 01;Martin
Pri Si¾ave I;036 01;Martin
Pri Turci;036 01;Martin
Pri zbrojnici;036 01;Martin
Pribinova;036 01;Martin
Priehradka;036 01;Martin
Priehradná;038 61;Martin
Priekopská;038 61;Martin
Prielotek;036 01;Martin
Priemyselná;036 01;Martin
Puškinova;036 01;Martin
R. Viesta;036 01;Martin
Rastislavova;036 01;Martin
Rázusova;036 01;Martin
Riadok;036 01;Martin
Rieèiny;036 01;Martin
Robotnícka;036 01;Martin
Rumunskej armády;036 01;Martin
Ruppeldtova;036 01;Martin
Rybárska;036 01;Martin
S. Bibzu;036 01;Martin
S. Chalupku;036 01;Martin
Sadová;036 01;Martin
Sasinkova;036 01;Martin
Severná;036 01;Martin
Schmidtova;036 01;Martin
Si¾ava;036 01;Martin
Sklabinská;036 01;Martin
Sládkovièova;036 01;Martin
Slneèná;036 01;Martin
Slovanská;036 01;Martin
Smetanova;038 61;Martin
Smrekova;038 61;Martin
Stavbárska;036 01;Martin
Suèianska;038 61;Martin
Sucháèkova;036 01;Martin
Svätoplukova;036 01;Martin
Š. B. Romana;036 01;Martin
Š. Furdeka;036 01;Martin
Š. Kunu;036 01;Martin
Š. Náhalku;036 01;Martin
Šefranica;036 01;Martin
Ševèenkova;036 01;Martin
Školská;036 01;Martin
Škultétyho;036 01;Martin
Šmidkeho;036 01;Martin
Šoltésovej;036 01;Martin
Štefanovièova;036 01;Martin
Štepnická;036 01;Martin
Štúrovo námestie;036 01;Martin
Štvr Èajkovského;038 61;Martin
T. Vansovej;036 01;Martin
Tajovského;036 01;Martin
Tehelná;036 01;Martin
Thurzova;036 01;Martin
Timravy;036 01;Martin
Tolstého;036 01;Martin
Tomášikova;036 01;Martin
Tomèany;036 01;Martin
Tomèányiovská;036 01;Martin
Tomèianska cesta;036 01;Martin
Tulská;036 01;Martin
Turèianskych dobrovo¾níkov;036 01;Martin
Ulica E. T. Böhma;038 61;Martin
Ulica J. Bodeneka;038 61;Martin
Ulica J. Kuèeru;038 61;Martin
Ulica S. Straèinu;036 01;Martin
Uzlovská;038 61;Martin
V ulici;038 61;Martin
V. P. Tótha;036 01;Martin
V. Šípoša;036 01;Martin
V. ingora;036 01;Martin
Vèelárska paseka;036 01;Martin
Veterná;036 01;Martin
Volgogradská;038 61;Martin
Vıchodná;036 01;Martin
Wolkrova;036 01;Martin
Za campingom;038 61;Martin
Za Jordánom;038 61;Martin
Záborského;036 01;Martin
Zámocká;036 01;Martin
Záturèianska;036 01;Martin
Záturecká;036 01;Martin
Zelená;038 61;Martin
Zemianska;036 01;Martin
Zvolenská;036 01;Martin
1.mája;907 01;Myjava
8.apríla;907 01;Myjava
Bednárova;907 01;Myjava
Boèná;907 01;Myjava
Bodnárova;907 01;Myjava
Bradáèova;907 01;Myjava
Brezovská;907 01;Myjava
Brunov;907 01;Myjava
Buchlovská;907 01;Myjava
Cibulkova;907 03;Myjava
Èsl. armády;907 01;Myjava
Diely;907 03;Myjava
Dolná;907 01;Myjava
Dolná štvr;907 01;Myjava
Dubravèíkov vàšok;907 01;Myjava
Duklianska;907 01;Myjava
Durišovia;907 03;Myjava
Gege¾ovská;907 01;Myjava
Generála Svobodu;907 01;Myjava
Goláòova;907 01;Myjava
Gromovova;907 01;Myjava
Guzice;907 01;Myjava
Hlinícka;907 01;Myjava
Hodova;907 01;Myjava
Hoštáky;907 01;Myjava
Hurbanova;907 01;Myjava
Hviezdoslavova;907 01;Myjava
Chlebov vrch;907 03;Myjava
Jablonská;907 01;Myjava
Janka Cádru;907 01;Myjava
Jánošíkova;907 01;Myjava
Jašovec;907 03;Myjava
Javorinská;907 01;Myjava
Kamenec;907 03;Myjava
Kamenné;907 01;Myjava
Karušova;907 03;Myjava
Komenského;907 01;Myjava
Kopánka;907 01;Myjava
Kopiská;907 03;Myjava
kpt. M. Uhra;907 01;Myjava
Krajòanská;907 01;Myjava
Krmanova;907 01;Myjava
Krle;907 01;Myjava
Kıèer;907 03;Myjava
M. Mareèka;907 01;Myjava
M.Šimonovièa;907 01;Myjava
Malejov;907 03;Myjava
Michala Šimonovièa;907 01;Myjava
Milana Mareèka;907 01;Myjava
Moravská;907 01;Myjava
Nádraná;907 01;Myjava
Nám.M.R.Štefánika;907 01;Myjava
Námestie M. R. Štefánika;907 01;Myjava
Novomestská;907 01;Myjava
Padelky;907 03;Myjava
Pakanská;907 01;Myjava
Partizánska;907 01;Myjava
Paického;907 01;Myjava
Paite;907 01;Myjava
Petra Tvrdého;907 01;Myjava
Píly;907 03;Myjava
Pirte;907 01;Myjava
Pod Barancom;907 01;Myjava
Pod vrchom;907 03;Myjava
Polákov vrch;907 03;Myjava
Po¾ana;907 01;Myjava
Pri Lesíku;907 01;Myjava
Priemyselná;907 01;Myjava
profesora Varsíka;907 01;Myjava
Prostredná;907 01;Myjava
Prvej SNR;907 01;Myjava
Samka Dudíka;907 01;Myjava
Sídl. Kamenné;907 01;Myjava
Siváèkovia;907 01;Myjava
Sládkovièova;907 01;Myjava
SNP;907 01;Myjava
Staromyjavská;907 01;Myjava
Škola;907 03;Myjava
Štefèakovia;907 03;Myjava
Štemberk;907 01;Myjava
Štúrova;907 01;Myjava
Štverná;907 03;Myjava
Tehelná;907 01;Myjava
Továrenská;907 01;Myjava
Trnovská;907 01;Myjava
Trokanova;907 01;Myjava
Turá Lúka;907 03;Myjava
U Baláov;907 03;Myjava
U Bašnárov;907 03;Myjava
U Belanskıch;907 03;Myjava
U Bucalov;907 01;Myjava
U Èernákov;907 03;Myjava
U Duhákov;907 03;Myjava
U Hôïalov;907 01;Myjava
U Humeníkov;907 01;Myjava
U Chorvátov;907 03;Myjava
U Jandíkov;907 03;Myjava
U Janusov;907 03;Myjava
U Jurèov;907 03;Myjava
U Júríkov;907 03;Myjava
U Klvaèov;907 03;Myjava
U Kozrlkov;907 01;Myjava
U Koíkov;907 03;Myjava
U Krèkov;907 03;Myjava
U Krikov;907 01;Myjava
U Kulíškov;907 01;Myjava
U Majtánov;907 03;Myjava
U Mihálov;907 01;Myjava
U Mizerákov;907 01;Myjava
U Omastov;907 03;Myjava
U Pagáèov;907 01;Myjava
U Pánikov;907 01;Myjava
U Pekníkov;907 01;Myjava
U Petrášov;907 01;Myjava
U Podzámskıch;907 03;Myjava
U Rybkov;907 03;Myjava
U Svítkov;907 01;Myjava
U Šimkov;907 03;Myjava
U Škanderov;907 03;Myjava
U Škarítkov;907 03;Myjava
U Škodákov;907 03;Myjava
U Ticháèkov;907 01;Myjava
U Vachulov;907 03;Myjava
U Vankov;907 03;Myjava
U Varsíkov - Líška;907 03;Myjava
U Vdoviakov;907 01;Myjava
U Zemanov;907 01;Myjava
U Zimov;907 03;Myjava
Uhliská;907 01;Myjava
Vajanského;907 01;Myjava
Viestova;907 01;Myjava
Vàšok;907 01;Myjava
Vıhony;907 01;Myjava
Záhradnícka;907 01;Myjava
Záhrady;907 03;Myjava
Závršky;907 01;Myjava
Zory Lackovej;907 01;Myjava
Zuzky Zgurišky;907 01;Myjava
aboškreky;907 01;Myjava
1.mája;949 05;Nitra
7.pešieho pluku;949 01;Nitra
8.mája;949 01;Nitra
A. F. Langa;949 11;Nitra
A.Ïate¾a;949 07;Nitra
A.arnova;949 07;Nitra
Agátová ulica;949 01;Nitra
Akademická;949 01;Nitra
Alexyho;949 11;Nitra
Ambrova;949 01;Nitra
Andreja Šulgana;949 01;Nitra
Antona Toèíka;949 11;Nitra
Astrová;949 01;Nitra
Atlasová;949 01;Nitra
Azalková;949 01;Nitra
B.Nemcovej;949 01;Nitra
Bajkalská;949 01;Nitra
Bajzova;949 01;Nitra
Banièova;949 11;Nitra
Banská;949 01;Nitra
Bártfayho;949 01;Nitra
Bartókova;949 01;Nitra
Bazová;949 01;Nitra
Bazovského;949 11;Nitra
Baantia;949 01;Nitra
Beethovenova;949 11;Nitra
Bellova;949 11;Nitra
Belopotockého;949 01;Nitra
Beniakova;949 01;Nitra
Benkova;949 11;Nitra
Bernolákova;949 01;Nitra
Biela;949 01;Nitra
Biovetská;949 05;Nitra
Biringerova;949 01;Nitra
Bita;949 05;Nitra
Bizetova;949 11;Nitra
Boèná;949 05;Nitra
Bohúòova;949 01;Nitra
Bojnická;949 01;Nitra
Boleèkova;949 01;Nitra
Borodáèova;949 11;Nitra
Borová;949 01;Nitra
Borovicová;949 05;Nitra
Botanická;949 01;Nitra
Bottova;949 01;Nitra
Braneckého;949 01;Nitra
Bratislavská;949 01;Nitra
Brestová;949 01;Nitra
Brezová;949 01;Nitra
Brezovı háj;949 01;Nitra
Brigádnická;949 05;Nitra
Broskyòová;949 01;Nitra
Buková;949 01;Nitra
Bulharská;949 01;Nitra
Burgundská;949 01;Nitra
Bystrá;949 01;Nitra
Cabajská;949 01;Nitra
Cabanova;949 01;Nitra
Cez panské;949 01;Nitra
Cintorínska;949 01;Nitra
Cirmánska;949 05;Nitra
Clementisova;949 01;Nitra
Coboriho;949 01;Nitra
Cyrilometodské námestie;949 01;Nitra
Èajkovského;949 11;Nitra
Èakanková;949 01;Nitra
Èavojského;949 01;Nitra
Èeèinová;949 01;Nitra
Èermánske námestie;949 01;Nitra
Èernicová;949 01;Nitra
Èervenova;949 01;Nitra
Èesko-slovenskej armády;949 01;Nitra
Èulenova;949 01;Nitra
Damborského;949 01;Nitra
Dia¾nièná;949 01;Nitra
Dlhá;949 01;Nitra
Dlhá;949 07;Nitra
Dlhá;949 07;Nitra
Dobrotka;949 01;Nitra
Dobšinského;949 01;Nitra
Dolealova;949 01;Nitra
Dolná;949 07;Nitra
Dolné Hony;949 01;Nitra
Dolnoèermánska;949 01;Nitra
Dolnohorská;949 01;Nitra
Dolnozoborská;949 01;Nitra
Dr.J.Budayho;949 07;Nitra
Draovská;949 01;Nitra
Drieòová;949 01;Nitra
Drieòová;949 01;Nitra
Drozdí chodník;949 01;Nitra
Drustevná;949 01;Nitra
Dubíkova;949 01;Nitra
Dubová;949 01;Nitra
Ïumbierska;949 01;Nitra
Dunajská;949 11;Nitra
Ïurèanského;949 01;Nitra
Ïurková;949 01;Nitra
Dvorèanská;949 05;Nitra
Dvorská;949 07;Nitra
Edisonova ulica;949 11;Nitra
Elektrárenská;949 01;Nitra
Fabrická;949 01;Nitra
Fándlyho;949 01;Nitra
Farská;949 01;Nitra
Fatranská;949 01;Nitra
Fialková;949 01;Nitra
Fraòa Krá¾a;949 01;Nitra
Fraòa Mojtu;949 01;Nitra
Furmanská;949 11;Nitra
Gaštanová;949 01;Nitra
Gazdovská;949 01;Nitra
Gemerská;949 01;Nitra
Gergelyiho ulica;949 01;Nitra
Gerhardtova ulica;949 01;Nitra
Gladiolová;949 01;Nitra
Golianova;949 01;Nitra
Golianova;949 11;Nitra
Golianovská;949 07;Nitra
Gorazdova;949 01;Nitra
H. Melièkovej;949 01;Nitra
Hájnická;949 01;Nitra
Hájovòa;949 05;Nitra
Hájska;949 01;Nitra
Hamuljakova;949 01;Nitra
Hanácka;949 07;Nitra
Hanulova;949 01;Nitra
Hattalova;949 01;Nitra
Havrania;949 01;Nitra
Heèkova;949 01;Nitra
Hirošimská;949 01;Nitra
Hlavná;949 07;Nitra
Hlboká;949 01;Nitra
Hlohová;949 01;Nitra
Hlohovecká;949 01;Nitra
Hodálova;949 01;Nitra
Hodova;949 01;Nitra
Hollého;949 01;Nitra
Holotka;949 05;Nitra
Holubyho;949 01;Nitra
Hontianska;949 01;Nitra
Horeckého;949 01;Nitra
Horná;949 01;Nitra
Hornoèermánska;949 01;Nitra
Hornohorská;949 01;Nitra
Hornokynecká ulica;949 01;Nitra
Hornostavská;949 01;Nitra
Hornozoborská;949 01;Nitra
Hornı Palánok;949 01;Nitra
Horská;949 01;Nitra
Hospodárska;949 01;Nitra
Hozova;949 01;Nitra
Hrabová;949 01;Nitra
Hradná;949 01;Nitra
Hradné námestie;949 01;Nitra
Hranièná;949 01;Nitra
Hríbová;949 07;Nitra
Hroznová;949 01;Nitra
Hurbanova;949 01;Nitra
Hviezdna;949 01;Nitra
Hviezdoslavova trieda;949 01;Nitra
Hviezdoslavova trieda;949 11;Nitra
Hydinárska;949 01;Nitra
Chalupkova;949 01;Nitra
Chatárska;949 01;Nitra
Chme¾ová dolina;949 01;Nitra
Chotárna;949 01;Nitra
Chrenovská;949 01;Nitra
Inovecká;949 01;Nitra
Ipe¾ská ulica;949 01;Nitra
Ivana Braunera;949 11;Nitra
J. C. Hronského;949 07;Nitra
Jabloòová;949 05;Nitra
Jahodová;949 01;Nitra
Jakuba Haška;949 01;Nitra
Jána Galbavého;949 01;Nitra
Jána Mila;949 07;Nitra
Jána Mrvu;949 01;Nitra
Jána Zelenáka;949 01;Nitra
Janka Krá¾a;949 01;Nitra
Janka Silana;949 07;Nitra
Jánošíkova;949 01;Nitra
Janského;949 01;Nitra
Jarabinová;949 11;Nitra
Jarmoèná;949 01;Nitra
Jarná;949 01;Nitra
Jarocká;949 01;Nitra
Jaseòová;949 01;Nitra
Jaskyòová;949 01;Nitra
Jasná;949 01;Nitra
Jastrabia;949 01;Nitra
Javorová;949 01;Nitra
Jazerná;949 01;Nitra
Jazmínová;949 11;Nitra
Jedlíkova;949 11;Nitra
Jelenecká;949 01;Nitra
Jelšová;949 01;Nitra
Jesenského;949 01;Nitra
Jevjákova ulica;949 01;Nitra
Jozefa Vuruma;949 01;Nitra
Jozefa Vuruma;949 01;Nitra
Jurkovièova;949 11;Nitra
Jurskı dvor;949 01;Nitra
Juná;949 01;Nitra
Junı prameò;949 01;Nitra
K rieke;949 05;Nitra
Kalinèiakova;949 01;Nitra
Kalvária;949 01;Nitra
Kalvárska;949 01;Nitra
Kamenecká;949 01;Nitra
Kamenná;949 01;Nitra
Kanálová;949 01;Nitra
Karpatská;949 01;Nitra
Kasalova;949 01;Nitra
Kasárenská;949 01;Nitra
Kavcova;949 01;Nitra
Kláštorská;949 01;Nitra
Klinèeková;949 01;Nitra
Klokoèinská;949 01;Nitra
K¾úèovského;949 01;Nitra
Kluchova;949 01;Nitra
Kmekova;949 01;Nitra
Kmeova;949 11;Nitra
Knappova Ulica;949 05;Nitra
Koce¾ova;949 01;Nitra
Kodályova;949 01;Nitra
Kochova;949 01;Nitra
Kollárova;949 01;Nitra
Komenského;949 01;Nitra
Kopanická;949 07;Nitra
Korèekova;949 01;Nitra
Kostolná;949 01;Nitra
Košická;949 01;Nitra
Kováèikova;949 01;Nitra
Kozmonautov;949 01;Nitra
Krá¾ovská cesta;949 01;Nitra
Kraskova;949 01;Nitra
Krátka;949 01;Nitra
Krèméryho;949 01;Nitra
Kremnická;949 01;Nitra
Kríková;949 07;Nitra
Krištá¾ová;949 01;Nitra
Krivánska;949 01;Nitra
Krína;949 07;Nitra
Krompašská;949 01;Nitra
Krškanská;949 05;Nitra
Ku skládke;949 01;Nitra
Kukuèínova;949 01;Nitra
Kultúrna;949 01;Nitra
Kupecká;949 01;Nitra
Kúpe¾ná;949 01;Nitra
Kúria;949 07;Nitra
Kvetná;949 01;Nitra
Kyjevská;949 01;Nitra
Kynecká;949 01;Nitra
¼aliová;949 01;Nitra
Lány;949 01;Nitra
Láteèkovej;949 05;Nitra
Lehotská ulica;949 01;Nitra
Lesná;949 01;Nitra
Letecká;949 07;Nitra
Letná;949 05;Nitra
Levandu¾ová;949 01;Nitra
Levická;949 01;Nitra
Lidická;949 01;Nitra
Liesková;949 05;Nitra
Lipová;949 01;Nitra
Liptovská;949 01;Nitra
Lomnická;949 01;Nitra
Lúèna;949 01;Nitra
¼uda Ondrejova;949 01;Nitra
¼udovíta Èuláka;949 01;Nitra
¼udovíta Okánika;949 01;Nitra
Lukáèova;949 01;Nitra
Lukov dvor;949 01;Nitra
Lukovská;949 01;Nitra
Luianska;949 01;Nitra
M.S.Trnavského;949 01;Nitra
Maginova;949 01;Nitra
Majakovského;949 01;Nitra
Malá;949 01;Nitra
Malá kamenná;949 01;Nitra
Malá podhájska;949 01;Nitra
Malá strmá;949 01;Nitra
Malanta;949 01;Nitra
Malíkova;949 01;Nitra
Malinová;949 01;Nitra
Mand¾ová;949 01;Nitra
Margarétková;949 01;Nitra
Mariánska;949 01;Nitra
Mariánska dolina;949 01;Nitra
Martinská dolina;949 01;Nitra
Massányiho ulica;949 01;Nitra
Matièná ulica;949 11;Nitra
Matušincova;949 07;Nitra
Mäsiarska;949 05;Nitra
Medovková ulica;949 11;Nitra
Medzi vodami;949 05;Nitra
Metodova;949 01;Nitra
Michala Lukniša;949 01;Nitra
Michala Verešíka;949 07;Nitra
Mikov Dvor;949 01;Nitra
Mikova Ves;949 01;Nitra
Mikovíniho;949 11;Nitra
Misionárska;949 01;Nitra
Mlynská;949 01;Nitra
Mojmírova;949 01;Nitra
Morušová;949 01;Nitra
Moskovská;949 01;Nitra
Mostná;949 01;Nitra
Moyzesova;949 01;Nitra
Mrázova;949 01;Nitra
Mudrochova;949 01;Nitra
Mudroòova;949 01;Nitra
Murániho;949 11;Nitra
Murgašova;949 01;Nitra
Muškátová;949 01;Nitra
Na Èerešòovom vrchu;949 11;Nitra
Na Dolinu;949 01;Nitra
Na gruntoch;949 01;Nitra
Na hlinách;949 05;Nitra
Na Hôrke;949 11;Nitra
Na Katruši;949 05;Nitra
Na lúkach;949 11;Nitra
Na Pasienkoch;949 01;Nitra
Na Predmostí;949 01;Nitra
Na Priehon;949 05;Nitra
Na stráni;949 11;Nitra
Na Vàšku;949 01;Nitra
Nábreie mládee;949 01;Nitra
Nábreie za hydrocentrálou;949 01;Nitra
Nad baòou;949 01;Nitra
Nad Hrabinou;949 01;Nitra
Nad potokom;949 01;Nitra
Nálepkova;949 01;Nitra
Námestie Jána Pavla II.;949 01;Nitra
Námestie Krá¾ovnej pokoja;949 01;Nitra
Napervillská;949 01;Nitra
Narcisová;949 01;Nitra
Nécseyho;949 01;Nitra
Nedbalova;949 11;Nitra
Nevädzová;949 01;Nitra
Nezábudková;949 05;Nitra
Nitrianska;949 01;Nitra
Nová;949 01;Nitra
Nová osada;949 01;Nitra
Novomeského;949 11;Nitra
Novozámocká;949 01;Nitra
Novozámocká;949 05;Nitra
Novozámocká;949 05;Nitra
Okruná;949 07;Nitra
Olivová;949 01;Nitra
Oravská;949 01;Nitra
Orechov dvor;949 01;Nitra
Orechová;949 01;Nitra
Orgovánová;949 01;Nitra
Orlia;949 01;Nitra
Oskorušová;949 01;Nitra
Osvaldova;949 01;Nitra
Ovocinárska;949 01;Nitra
Ovocinárska;949 11;Nitra
P. Benického;949 01;Nitra
Palackého;949 01;Nitra
Palánok;949 01;Nitra
Palárikova;949 01;Nitra
Panská dolina;949 01;Nitra
Parkové nábreie;949 01;Nitra
Párovská;949 01;Nitra
Párovské háje;949 01;Nitra
Partizánska;949 01;Nitra
Partizánska;949 11;Nitra
Paitná;949 11;Nitra
Pekná;949 01;Nitra
Petzwalova;949 11;Nitra
Pezinská;949 01;Nitra
Piaristická;949 01;Nitra
Piesková;949 01;Nitra
Piešanská;949 01;Nitra
Pivonková;949 01;Nitra
Pivovarská ulica;949 01;Nitra
Platanová;949 01;Nitra
Plynárenská;949 01;Nitra
Pod Borinou;949 01;Nitra
Pod brezami;949 01;Nitra
Pod briekom;949 11;Nitra
Pod buèinou;949 11;Nitra
Pod Dubinou;949 11;Nitra
Pod Gaštanicou;949 11;Nitra
Pod hájom;949 11;Nitra
Pod hrabinou;949 11;Nitra
Pod kaplnkou;949 11;Nitra
Pod Katrušou;949 05;Nitra
Pod kostolíkom;949 01;Nitra
Pod Lesom;949 01;Nitra
Pod Lupkou;949 01;Nitra
Pod Novosadmi;949 01;Nitra
Pod Orešinou;949 11;Nitra
Pod Plieškou;949 01;Nitra
Pod šípkami;949 01;Nitra
