DULICA;PSC;OBCE
Kvetinová;974 04;Banská Bystrica
Kyjevské námestie;974 04;Banská Bystrica
Ladislava Hudeca;974 01;Banská Bystrica
Ľaliová;974 01;Banská Bystrica
Laskomerská;974 01;Banská Bystrica
Lazovná;974 01;Banská Bystrica
Lesná;974 01;Banská Bystrica
Letná;974 05;Banská Bystrica
Liesková ulica;974 05;Banská Bystrica
Limbová;974 09;Banská Bystrica
Lipová;974 09;Banská Bystrica
Lúčičky;974 09;Banská Bystrica
Ľuda Ondrejova;974 01;Banská Bystrica
Ľupčianska;974 01;Banská Bystrica
M. Hattalu;974 01;Banská Bystrica
M. M. Hodžu;974 01;Banská Bystrica
M. Rázusa;974 01;Banská Bystrica
Magurská;974 11;Banská Bystrica
Majerská cesta;974 01;Banská Bystrica
Malachitová;974 05;Banská Bystrica
Malachovská cesta;974 05;Banská Bystrica
Marka Čulena;974 11;Banská Bystrica
Mateja Bela;974 11;Banská Bystrica
Medená;974 05;Banská Bystrica
Medený Hámor;974 01;Banská Bystrica
Mičinská cesta;974 01;Banská Bystrica
Mieru;974 01;Banská Bystrica
Mikuláša Kováča;974 01;Banská Bystrica
Mistríka;974 01;Banská Bystrica
Mládežnícka;974 04;Banská Bystrica
Mladých budovateľov;974 11;Banská Bystrica
Mlynská;974 09;Banská Bystrica
Mosadzná;974 05;Banská Bystrica
Moskovská;974 04;Banská Bystrica
Murgašova;974 01;Banská Bystrica
Muškátová ulica;974 01;Banská Bystrica
Na Čiertolí;974 09;Banská Bystrica
Na Dolinky;974 11;Banská Bystrica
Na Graniari;974 01;Banská Bystrica
Na Hrbe;974 01;Banská Bystrica
Na Karlove;974 01;Banská Bystrica
Na Kútinách;976 34;Banská Bystrica
Na Lúčkach;974 09;Banská Bystrica
Na Motyčinách;974 05;Banská Bystrica
Na plaváreň;974 11;Banská Bystrica
Na Skalici;974 11;Banská Bystrica
Na Starej tehelni;974 01;Banská Bystrica
Na Tále;974 11;Banská Bystrica
Na Troskách;974 01;Banská Bystrica
Na úbočí;974 09;Banská Bystrica
Na Uhlisku;974 01;Banská Bystrica
Na Zábave;974 11;Banská Bystrica
Nad plážou;974 01;Banská Bystrica
Nám. Ľ. Štúra;974 05;Banská Bystrica
Nám. slobody;974 01;Banská Bystrica
Nám. Š. Moysesa;974 01;Banská Bystrica
Námestie Ludvika Svobodu;974 01;Banská Bystrica
Námestie Ludvika Svobodu;974 09;Banská Bystrica
Námestie SNP;974 01;Banská Bystrica
Národná;974 01;Banská Bystrica
Nemčianska cesta;974 01;Banská Bystrica
Nešporova;974 04;Banská Bystrica
Nová;974 04;Banská Bystrica
Nové Kalište;974 04;Banská Bystrica
Nový Svet;974 01;Banská Bystrica
Oblačná;974 05;Banská Bystrica
Odbojárov;974 11;Banská Bystrica
Okružná;974 04;Banská Bystrica
Opálová;974 05;Banská Bystrica
Oremburská;974 04;Banská Bystrica
Ortutská cesta;974 05;Banská Bystrica
Ovčiarska ulica;976 34;Banská Bystrica
Ovocná;974 01;Banská Bystrica
Pánska;976 34;Banská Bystrica
Partizánska cesta;974 01;Banská Bystrica
Pestovateľská;974 09;Banská Bystrica
Petelenova;974 01;Banská Bystrica
Petra Karvaša;974 01;Banská Bystrica
Pieninská;974 11;Banská Bystrica
Plánková;974 05;Banská Bystrica
Platinová ulica;974 05;Banská Bystrica
Pod Banošom;974 11;Banská Bystrica
Pod cintorínom;974 11;Banská Bystrica
Pod Dúbravou;974 09;Banská Bystrica
Pod Hôrkou;974 11;Banská Bystrica
Pod Jesenským vŕškom;974 01;Banská Bystrica
Pod Kalváriou;974 01;Banská Bystrica
Pod rybou;974 01;Banská Bystrica
Pod Skalkou;974 11;Banská Bystrica
Pod Stráňou;974 09;Banská Bystrica
Pod Suchým vrchom;974 05;Banská Bystrica
Pod Turíčkou;974 01;Banská Bystrica
Pod Urpínom;974 01;Banská Bystrica
Pod vysielačom;974 01;Banská Bystrica
Podbeľová ulica;974 04;Banská Bystrica
Podháj;974 05;Banská Bystrica
Podjavorinskej;974 01;Banská Bystrica
Podlavická cesta;974 09;Banská Bystrica
Poľná;974 05;Banská Bystrica
Poľovnícka;974 01;Banská Bystrica
Ponická ulica;974 01;Banská Bystrica
Povstalecká cesta;974 09;Banská Bystrica
Priehrada;974 09;Banská Bystrica
Priemyselná ulica;974 01;Banská Bystrica
Profesora Sáru;974 01;Banská Bystrica
Pršianska cesta;974 05;Banská Bystrica
Prvosienková ulica;974 04;Banská Bystrica
Radomská;974 04;Banská Bystrica
Radvaň;976 34;Banská Bystrica
Radvanská;974 05;Banská Bystrica
Rakytovská cesta;974 05;Banská Bystrica
Robotnícka;974 01;Banská Bystrica
Rubínová;974 05;Banská Bystrica
Rudelinova ulica;974 11;Banská Bystrica
Rudlovská cesta;974 01;Banská Bystrica
Rudlovská cesta;974 11;Banská Bystrica
Rudlovská cesta;974 11;Banská Bystrica
Rudohorská;974 11;Banská Bystrica
Rumelková ulica;974 05;Banská Bystrica
Ruttkaya Nedeckého;974 01;Banská Bystrica
Ružová;974 11;Banská Bystrica
Sadová;974 04;Banská Bystrica
Sásovská cesta;974 11;Banská Bystrica
Senická cesta;974 01;Banská Bystrica
Severná;974 01;Banská Bystrica
Sitnianska;974 11;Banská Bystrica
Skubínska cesta;974 09;Banská Bystrica
Skuteckého;974 01;Banská Bystrica
Sládkovičova;974 05;Banská Bystrica
Slnečná;974 04;Banská Bystrica
Slnečné stráne;974 01;Banská Bystrica
Smaragdová;974 05;Banská Bystrica
Smreková;974 05;Banská Bystrica
Sokolovská;974 05;Banská Bystrica
Spojová;974 04;Banská Bystrica
Starohorská;974 11;Banská Bystrica
Stavebná;974 01;Banská Bystrica
Stoličková;974 01;Banská Bystrica
Stránska;974 11;Banská Bystrica
Strážovská;974 11;Banská Bystrica
Stredná;974 05;Banská Bystrica
Strieborné námestie;974 01;Banská Bystrica
Strmá;974 11;Banská Bystrica
Stromová;974 05;Banská Bystrica
Stupy;974 05;Banská Bystrica
Surovská;974 11;Banská Bystrica
Šalgotarjánska;974 04;Banská Bystrica
Šalkovská cesta;974 01;Banská Bystrica
Šimona Jurovského;974 01;Banská Bystrica
Šípková;974 05;Banská Bystrica
